Time,Rainfall,MaxTemperature,AverageTemperature,MinTemperature,Wind,Humidity,Cases
2017-w18,6.27634,43.33333333,28.572222,25.55555556,3.55,75.4,4
2017-w19,2.35966,32.77777778,30.144444,25.55555556,5.61,76.78571429,2
2017-w20,7.07644,32.77777778,29.255556,25.55555556,3.86,79.61428571,0
2017-w21,11.71956,32.77777778,29.05,25.55555556,2.48,80.95714286,0
2017-w22,10.48766,33.88888889,28.566667,25.55555556,2.89,82.25714286,3
2017-w23,10.81278,32.77777778,29.194444,25,3.18,80.32857143,1
2017-w24,2.43078,33.88888889,27.905556,25.55555556,3.39,79.55714286,3
2017-w25,15.34922,33.33333333,29.755556,25,2.61,78.7625,2
2017-w26,15.85722,32.77777778,28.372222,25,3.25,82.07142857,3
2017-w27,10.74166,32.77777778,28.83333,25,2.54,80.85714286,4
2017-w28,10.44956,31.66666667,27.155556,25,2.32,81.61428571,7
2017-w29,19.88566,32.22222222,27.766667,24.44444444,4.94,84.2,10
2017-w30,0.58166,33.33333333,27.905556,25,3.32,83.51428571,13
2017-w31,0.65278,33.88888889,28.266667,25,3.65,82.15714286,17
2017-w32,10.95756,33.33333333,28.711111,25,2.98,80.28571429,24
2017-w33,1.16078,33.33333333,28.911111,25,3.73,80.7,24
2017-w34,151.13,32.22222222,28.85,25,3.28,80.7,26
2017-w35,6.71322,33.33333333,28.005556,25.55555556,3.87,82.5,28
2017-w36,7.07644,34.44444444,28.805556,25,2.7,80.75714286,18
2017-w37,155.702,32.77777778,29.216667,25,7.89,79.81428571,14
2017-w38,146.812,33.88888889,28.205556,25,3.54,84.45909091,15
2017-w39,132.588,33.33333333,27.977778,25,3.56,83.11428571,13
2017-w40,135.382,32.77777778,28.255556,25,2.61,82.11428571,10
2017-w41,144.018,32.77777778,28.461111,25.55555556,3.22,82.28571429,13
2017-w42,30.51556,32.77777778,28.116667,24.44444444,3.34,83.62857143,7
2017-w43,1.70434,32.22222222,27.33333,25.55555556,7.85,85.45714286,9
2017-w44,32.1818,32.22222222,27.266667,25,4.72,80.92857143,13
2017-w45,1.04648,32.77777778,28.216667,25.55555556,5.78,83.65714286,3
